"time","time_orig","p_id","lon","lat","altitude","z","ta_int","UTM_x","UTM_y"
"2019-06-26 22:00:00",2019-06-26T22:00:51Z,5756,7.4597515,46.9455718,558,560,25.3,382783.797989988,5200267.11140633
"2019-06-26 22:00:00",2019-06-26T21:57:56Z,5758,7.4166476,46.9299157,569,570,NAN,379468.419142589,5198592.72095702
"2019-06-26 22:00:00",NAN,5759,7.423936,46.937364,567,567,NAN,380039.871259202,5199409.21566609
"2019-06-26 22:00:00",NAN,5760,7.45418,46.94844,540,541,NAN,382366.086797158,5200594.17907581
"2019-06-26 22:00:00",2019-06-26T21:55:09Z,5762,7.4697999,46.9503897,581,579,25.7,383558.941344905,5200787.51399049
"2019-06-26 22:00:00",2019-06-26T21:58:31Z,5764,7.465488,46.939864,555,560,28.3,383207.935970931,5199624.28443503
"2019-06-26 22:00:00",2019-06-26T21:53:14Z,5765,7.4670616246835,46.935144840604,542,544,27.2,383317.449842019,5199097.53658355
"2019-06-26 22:00:00",2019-06-26T21:51:59Z,5766,7.4182403624268,46.926834213036,570,573,25.9,379582.757686022,5198247.8523354
"2019-06-26 22:00:00",2019-06-26T21:58:11Z,5772,7.4650281,46.9341626,540,538,23.9,383160.529839977,5198991.41580653
"2019-06-26 22:00:00",2019-06-26T21:52:19Z,5773,7.458017,46.948286,557,508,26.2,382657.733742554,5200571.31544367
"2019-06-26 22:00:00",2019-06-26T21:57:24Z,5776,7.4517284,46.9478709,537,544,28.7,382178.278746986,5200534.62101626
"2019-06-26 22:00:00",NAN,5777,7.4611331999999,46.9476896,553,555,27.75,382893.566401417,5200500.38195984
"2019-06-26 22:00:00",NAN,5778,7.463312,46.948498,-999,567,NAN,383061.1295354,5200586.96100395
"2019-06-26 22:00:00",2019-06-26T21:59:32Z,5782,7.41077,46.926425,598,589,27.4,379013.137020083,5198213.87833383
"2019-06-26 22:00:00",2019-06-26T21:58:33Z,5783,7.451006,46.9481588,541,548,NAN,382123.937990605,5200567.69925221
"2019-06-26 22:00:00",2019-06-26T21:56:32Z,5786,7.454552,46.941369,544,546,25.5,382378.904567625,5199807.87295035
"2019-06-26 22:00:00",NAN,5792,7.4508797,46.971924,527,512,NAN,382166.525475749,5203208.74638053
"2019-06-26 22:00:00",2019-06-26T21:55:55Z,5794,7.429222,46.975733,528,524,24.2,380527.650400392,5203664.80945503
"2019-06-26 22:00:00",2019-06-26T21:53:13Z,5797,7.4559167,46.9415827,551,550,26.9,382483.235312614,5199829.57330377
"2019-06-26 22:00:00",2019-06-26T21:54:05Z,5798,7.4440079,46.9710728,546,548,26.3,381641.954020189,5203124.51480165
"2019-06-26 22:00:00",2019-06-26T21:57:04Z,5800,7.4650535032958,46.944634029414,552,556,23.8,383185.244937513,5200154.98983708
